food_item,allergen,measurable_quantity
Chicken breast,none,150 g
Salmon,fish,150 g
Eggs,egg,2 large eggs
Extra-firm tofu,soy,150 g
"Greek yogurt, plain",milk,170 g
"Chickpeas, cooked",none,1 cup
"Lentils, cooked",none,1 cup
"Brown rice, cooked",none,1 cup
"Quinoa, cooked",none,1 cup
Cottage cheese,milk,1 cup
Brown rice cakes,gluten,2 cakes
Kidney beans,none,1 cup
Black beans,none,1 cup
Edamame,soy,1/2 cup
Cucumber,none,1 cup
Mushrooms,none,1 cup
Turkey breast,none,150 g
Shrimp,shellfish,150 g
Pumpkin,none,1 cup
